0	TITLE	DRAWING	FIND	STRIKE	NOTE
2	INSULATION SLEEVING, ELEC HEAT SHRINK	1010490-180	50		3/4 LONG
2	CLAMP, CABLE	1000220-6	49		
3	SHIELD & GROUND ASSEMBLY	1000020-3	48		
3	SHIELD & GROUND ASSEMBLY	1000020-2	47		
6	WASHER, FLAT, ROUND	1000254	46		
1	RESISTOR, FIXED	1010498-300	45		The original drawing lists p/n 100498-300, which does not seem to be correct.  Earlier revisions list 1010498-300 instead.
1	WIRE, ELECT TYPE E-28 GY	MIL-W-16878	44		20" LONG
1	WIRE, ELECT TYPE E-28 BLU	MIL-W-16878	43		28" LONG
1	WIRE, ELECT TYPE E-28 YEL	MIL-W-16878	42		30" LONG
1	WIRE, ELECT TYPE E-28 RED	MIL-W-16878	41		42" LONG
1	WIRE, ELECT TYPE E-28 WHT	MIL-W-16878	40		18" LONG
1	WIRE, ELECT TYPE E-28 BLK	MIL-W-16878	39		56" LONG
AR	TAPE, NYLON, WAXED, BLK	MIL-T-713 TYPE P CLASS 2	38		
AR	GREASE, LUBRICATING	MIL-G-25760	37		
AR	GOODYEAR CPA923A	MIL-A-13883	36		
AR	SOLDER	QQ-S-571 SN60 WARP 2	35		
AR	SOLDER	QQ-S-571 SN10 WARP 2	34		
1	CLAMP, CABLE	1000220-4	33		
2	CLAMP, CABLE	1000220-5	32		
5	WASHER, CABLE CLAMP	1000223	31		
5	SCREW, HEX SOC. HD.	1000110-1	30		
6	CLAMP, TORQUE MOTOR	1000087	29		
4	SCREW, FLAT HD, SELF LKG, HEX SOC	1000104-17	28		
6	SCREW, CAP, SELF LKG, SOC HD HEX	NAS1352CO4LL4	27		
2	SCREW, BUT. HD, SELF LKG, SPL. SOC	1000250-2	26		
6	SCREW, CAP, SELF LKG, SOC HD HEX	NAS1352CO2LL4	25		
6	SCREW, CAP, SOC HD HEX	1000110-7	24		
6	SCREW, BUT. HD, SELF LKG, HEX SOC	1000093-25	23		
6	SCREW, BUT. HD SELF LKG, SPL SOC	1000250-15	22		
9	SCREW, BUT HD, SELF LKG SPL. SOC	1000250-12	21		
2	BUSHING, INSULATOR	1000036	20		
60	INSULATION SLEEVING, ELEC HEAT SHRINK	1006776-18	19		3/8 LONG
2	SCREW, CAP, SOC HD, HEX	1000110-202	18		
18	TERMINAL, INSULATED	1000100-1	17		3/4 LONG
2	INSULATION, SLEEVING, ELEC	1006776-15	16	X	5/16 LONG
48	INSULATION, SLEEVING, ELEC	1006776-18	15		5/16 LONG
2	INSULATION, SLEEVING, ELEC	1006776-9	14		
2	CONN, ELEC, RECEP, 29 CONT.	1000116	13		
1	CONN, ELEC, RECEP, 32 PINS	1001492-4	12		
1	CONN, ELEC, RECEP, 32 PINS	1001492-3	11		
1	GUIDE, WIRE, SHAFT STUB, O.A.	1000151	10		
1	GUIDE, WIRE, BEARING HSG, 1-X O.A.	1000269	9		
1	BEARING, BALL, DUPLEX	1000029	8		
1	NUT, BEARING RETAINER	1000086	7		
1	SLIP RING ASSY, ELEC, 50 CONTACT	1000038	6		
1	RETAINER, BEARING, OUTER AXIS	1000091	5		
1	MOTOR, TORQUE, DC, FRAMELESS	1000075	4		
1	RSVR ASSY 1-X XMTR & PITCH-YAW	1000033	3		
1	SHAFT STUB, 1-X OUTER AXIS	1000096	2		
1	HOUSING, BEARING, 1-X OUTER AXIS	1000101	1		
					
	PROOFED				