-91	-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR	AR								1008937-007	TAPE, PRESS, SENSITIVE ADHESIVE, ALUMINUM FOIL	35	
AR	AR								1008937-003	TAPE, PRESS, SENSITIVE ADHESIVE, ALUMINUM FOIL	34	
AR	AR								1006338-003	SEALING COMPOUND, SILICONE RUBBER	33	
1		1							2007095-041	HEADER, SUBASSEMBLY	32	
X	X	X	X		X	X			2014795	INTERCONNECT LIST	REF	
				X			X	X	2014679	INTERCONNECT LIST	REF	
1		1							2021288	MAT, POLYURETHANE FOAM	31	
1		1							2021287	MAT, POLYURETHANE FOAM	30	
1		1							2021286	MAT, POLYURETHANE FOAM	29	
1		1							2021285-011	CONNECTOR MTG PLATE ASSY, LEFT	28	
1		1							2021284-011	CONNECTOR MTG PLATE ASSY, RIGHT	27	
AR	AR	AR	AR	AR	AR	AR	AR	AR	1008936-001	LACING TAPE	26	
AR	AR	AR	AR		AR	AR	AR	AR	1008871-002	SHIM â€“ LAMINATED	25	
	1		1	1	1				2007116-021	CONNECTOR MTG PLATE ASSY, LEFT	24	
	1		1	1	1				2007115-021	CONNECTOR MTG PLATE ASSY, RIGHT	23	
	1		1	1	1				2007095-031	HEADER, SUBASSEMBLY	22	
1	1	1	1		1	1			2014794	LEAD SET BB ELECTRICAL	21	
						1	1		2007095-021	HEADER SUBASSEMBLY	20	
6	6	6	6	6	6	6	6	6	MS15795-802	WASHER, FLAT	19	
6	6	6	6	6	6	6	6	6	1010617-2	NUT	18	
6	6	6	6	6	6	6	6	6	NAS1352-02-06	SCREW, CAP SOCKET HEAD	17	
3	3	3	3	3	3	3	3	3	1010498-238	RESISTOR, FIXED	16	
20	20	20	20	20	20	20	20	20	1010958-1	PLUG, PROTECTIVE	15	
							121	121	1010770-2	CONTACT, CRIMP TYPE	14	X
20	20	20	20	20	20	20	20	20	NAS1352-08-6	SCREW, CAP SOCKET HEAD	13	
2	2	2	2	2	2	2	2	2	NAS1352-04-4	SCREW, CAP SOCKET HEAD	12	
1	1	1	1	1	1	1	1	1	2007096-011	BUFFER RESISTOR ASSY	11	
1	1	1	1	1	1	1	1	1	2008397-002	CONNECTOR, RECEPTACLE	10	
1	1	1	1	1	1	1	1	1	2008397-001	CONNECTOR, RECEPTACLE	9	
1	1	1	1	1	1	1	1	1	2008396-001	CONNECTOR, RECEPTACLE	8	
AR	AR	AR	AR	AR	AR	AR	AR	AR	MIL-I-15126	MYLAR TAPE, TYPE MFT 2.5	7	
1	1	1	1	1	1	1	1	1	1008833-001	RESISTOR, TEMP SENSITIVE, WAFER	6	
1	1	1	1	1	1	1	1	1	2014758	LEAD SET CC ELECTRICAL	5	
				1			1	1	2014681	LEAD SET BB ELECTRICAL	4	
						1	1	1	2007116-011	CONNECTOR MTG PLATE ASSY, LEFT	3	
						1	1	1	2007115-011	CONNECTOR MTG PLATE ASSY, RIGHT	2	
								1	2007095-011	HEADER SUBASSEMBLY	1	
												
X	X	X	X	X	X	X	X	X	X	PROOFED	REF	X
